support_item_number,support_item_name,unit,national_2026_27,remote_2026_27,very_remote_2026_27,price_type_2026_27,effective_start,effective_end,schedule,table
01_603_0114_1_1,Delivery of Health Supports by an Enrolled Nurse - Sunday,Hour,$169.62,$237.47,$254.43,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by an Enrolled Nurse
01_604_0114_1_1,Delivery of Health Supports by an Enrolled Nurse - Public Holiday,Hour,$191.67,$268.34,$287.51,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by an Enrolled Nurse
01_605_0114_1_1,Delivery of Health Supports by an Enrolled Nurse - Weekday Night,Hour,$116.22,$162.71,$174.33,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by an Enrolled Nurse
15_400_0114_1_3,Delivery of Health Supports by an Enrolled Nurse - Weekday Daytime,Hour,$103.44,$144.82,$155.16,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by an Enrolled Nurse
15_401_0114_1_3,Delivery of Health Supports by an Enrolled Nurse - Weekday Evening,Hour,$114.10,$159.74,$171.15,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by an Enrolled Nurse
15_402_0114_1_3,Delivery of Health Supports by an Enrolled Nurse - Saturday,Hour,$147.55,$206.57,$221.33,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by an Enrolled Nurse
15_403_0114_1_3,Delivery of Health Supports by an Enrolled Nurse - Sunday,Hour,$169.62,$237.47,$254.43,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by an Enrolled Nurse
15_404_0114_1_3,Delivery of Health Supports by an Enrolled Nurse - Public Holiday,Hour,$191.67,$268.34,$287.51,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by an Enrolled Nurse
15_405_0114_1_3,Delivery of Health Supports by an Enrolled Nurse - Weekday Night,Hour,$116.22,$162.71,$174.33,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by an Enrolled Nurse
01_606_0114_1_1,Delivery of Health Supports by a Registered Nurse - Weekday Daytime,Hour,$128.05,$179.27,$192.08,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Registered Nurse
01_607_0114_1_1,Delivery of Health Supports by a Registered Nurse - Weekday Evening,Hour,$141.27,$197.78,$211.91,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Registered Nurse
01_608_0114_1_1,Delivery of Health Supports by a Registered Nurse - Saturday,Hour,$182.75,$255.85,$274.13,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Registered Nurse
01_609_0114_1_1,Delivery of Health Supports by a Registered Nurse - Sunday,Hour,$210.09,$294.13,$315.14,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Registered Nurse
01_610_0114_1_1,Delivery of Health Supports by a Registered Nurse - Public Holiday,Hour,$237.43,$332.40,$356.15,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Registered Nurse
01_611_0114_1_1,Delivery of Health Supports by a Registered Nurse - Weekday Night,Hour,$143.90,$201.46,$215.85,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Registered Nurse
15_406_0114_1_3,Delivery of Health Supports by a Registered Nurse - Weekday Daytime,Hour,$128.05,$179.27,$192.08,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Registered Nurse
15_407_0114_1_3,Delivery of Health Supports by a Registered Nurse - Weekday Evening,Hour,$141.27,$197.78,$211.91,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Registered Nurse
15_408_0114_1_3,Delivery of Health Supports by a Registered Nurse - Saturday,Hour,$182.75,$255.85,$274.13,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Registered Nurse
15_409_0114_1_3,Delivery of Health Supports by a Registered Nurse - Sunday,Hour,$210.09,$294.13,$315.14,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Registered Nurse
15_410_0114_1_3,Delivery of Health Supports by a Registered Nurse - Public Holiday,Hour,$237.43,$332.40,$356.15,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Registered Nurse
15_411_0114_1_3,Delivery of Health Supports by a Registered Nurse - Weekday Night,Hour,$143.90,$201.46,$215.85,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Registered Nurse
01_612_0114_1_1,Delivery of Health Supports by a Clinical Nurse - Weekday Daytime,Hour,$148.13,$207.38,$222.20,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Registered Nurse
01_613_0114_1_1,Delivery of Health Supports by a Clinical Nurse - Weekday Evening,Hour,$163.39,$228.75,$245.09,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Registered Nurse
01_614_0114_1_1,Delivery of Health Supports by a Clinical Nurse - Saturday,Hour,$211.39,$295.95,$317.09,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Registered Nurse
01_615_0114_1_1,Delivery of Health Supports by a Clinical Nurse - Sunday,Hour,$243.02,$340.23,$364.53,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Registered Nurse
01_616_0114_1_1,Delivery of Health Supports by a Clinical Nurse - Public Holiday,Hour,$274.64,$384.50,$411.96,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Registered Nurse
01_617_0114_1_1,Delivery of Health Supports by a Clinical Nurse - Weekday Night,Hour,$166.45,$233.03,$249.68,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Registered Nurse
15_412_0114_1_3,Delivery of Health Supports by a Clinical Nurse - Weekday Daytime,Hour,$148.13,$207.38,$222.20,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Registered Nurse
15_413_0114_1_3,Delivery of Health Supports by a Clinical Nurse - Weekday Evening,Hour,$163.39,$228.75,$245.09,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Registered Nurse
15_414_0114_1_3,Delivery of Health Supports by a Clinical Nurse - Saturday,Hour,$211.39,$295.95,$317.09,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Registered Nurse
15_415_0114_1_3,Delivery of Health Supports by a Clinical Nurse - Sunday,Hour,$243.02,$340.23,$364.53,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Registered Nurse
15_416_0114_1_3,Delivery of Health Supports by a Clinical Nurse - Public Holiday,Hour,$274.64,$384.50,$411.96,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Registered Nurse
15_417_0114_1_3,Delivery of Health Supports by a Clinical Nurse - Weekday Night,Hour,$166.45,$233.03,$249.68,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Registered Nurse
01_618_0114_1_1,Delivery of Health Supports by a Clinical Nurse Consultant - Weekday Daytime,Hour,$175.18,$245.25,$262.77,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Clinical Nurse Consultant
01_619_0114_1_1,Delivery of Health Supports by a Clinical Nurse Consultant - Weekday Evening,Hour,$193.27,$270.58,$289.91,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Clinical Nurse Consultant
01_620_0114_1_1,Delivery of Health Supports by a Clinical Nurse Consultant - Saturday,Hour,$250.12,$350.17,$375.18,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Clinical Nurse Consultant
01_621_0114_1_1,Delivery of Health Supports by a Clinical Nurse Consultant - Sunday,Hour,$287.58,$402.61,$431.37,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Clinical Nurse Consultant
01_622_0114_1_1,Delivery of Health Supports by a Clinical Nurse Consultant - Public Holiday,Hour,$325.03,$455.04,$487.55,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Clinical Nurse Consultant
01_623_0114_1_1,Delivery of Health Supports by a Clinical Nurse Consultant - Weekday Night,Hour,$196.89,$275.65,$295.34,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Clinical Nurse Consultant
15_418_0114_1_3,Delivery of Health Supports by a Clinical Nurse Consultant - Weekday Daytime,Hour,$175.18,$245.25,$262.77,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Clinical Nurse Consultant
15_419_0114_1_3,Delivery of Health Supports by a Clinical Nurse Consultant - Weekday Evening,Hour,$193.27,$270.58,$289.91,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Clinical Nurse Consultant
15_420_0114_1_3,Delivery of Health Supports by a Clinical Nurse Consultant - Saturday,Hour,$250.12,$350.17,$375.18,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Clinical Nurse Consultant
15_421_0114_1_3,Delivery of Health Supports by a Clinical Nurse Consultant - Sunday,Hour,$287.58,$402.61,$431.37,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Clinical Nurse Consultant
15_422_0114_1_3,Delivery of Health Supports by a Clinical Nurse Consultant - Public Holiday,Hour,$325.03,$455.04,$487.55,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Clinical Nurse Consultant
15_423_0114_1_3,Delivery of Health Supports by a Clinical Nurse Consultant - Weekday Night,Hour,$196.89,$275.65,$295.34,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Clinical Nurse Consultant
01_624_0114_1_1,Delivery of Health Supports by a Nurse Practitioner - Weekday Daytime,Hour,$183.15,$256.41,$274.73,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Nurse Practitioner
01_625_0114_1_1,Delivery of Health Supports by a Nurse Practitioner - Weekday Evening,Hour,$202.04,$282.86,$303.06,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Nurse Practitioner
01_626_0114_1_1,Delivery of Health Supports by a Nurse Practitioner - Saturday,Hour,$261.50,$366.10,$392.25,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Nurse Practitioner
01_627_0114_1_1,Delivery of Health Supports by a Nurse Practitioner - Sunday,Hour,$300.67,$420.94,$451.01,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Nurse Practitioner
01_628_0114_1_1,Delivery of Health Supports by a Nurse Practitioner - Public Holiday,Hour,$339.84,$475.78,$509.76,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Nurse Practitioner
01_629_0114_1_1,Delivery of Health Supports by a Nurse Practitioner - Weekday Night,Hour,$205.83,$288.16,$308.75,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Nurse Practitioner
15_424_0114_1_3,Delivery of Health Supports by a Nurse Practitioner - Weekday Daytime,Hour,$183.15,$256.41,$274.73,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Nurse Practitioner
15_425_0114_1_3,Delivery of Health Supports by a Nurse Practitioner - Weekday Evening,Hour,$202.04,$282.86,$303.06,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Nurse Practitioner
15_426_0114_1_3,Delivery of Health Supports by a Nurse Practitioner - Saturday,Hour,$261.50,$366.10,$392.25,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Nurse Practitioner
15_427_0114_1_3,Delivery of Health Supports by a Nurse Practitioner - Sunday,Hour,$300.67,$420.94,$451.01,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Nurse Practitioner
15_428_0114_1_3,Delivery of Health Supports by a Nurse Practitioner - Public Holiday,Hour,$339.84,$475.78,$509.76,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Nurse Practitioner
15_429_0114_1_3,Delivery of Health Supports by a Nurse Practitioner - Weekday Night,Hour,$205.83,$288.16,$308.75,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by a Nurse Practitioner
01_004_0107_1_1,Assistance with Personal Domestic Activities,Hour,$61.16,$85.62,$91.74,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Other Labour Indexed Supports
01_016_0104_1_1,Specialised Home Based Assistance For A Child,Hour,$61.16,$85.62,$91.74,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Other Labour Indexed Supports
01_019_0120_1_1,House or Yard Maintenance,Hour,$59.01,$82.61,$88.52,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Other Labour Indexed Supports
01_020_0120_1_1,House Cleaning And Other Household Activities,Hour,$60.10,$84.14,$90.15,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Other Labour Indexed Supports
12_029_0126_3_3,Personal training provided by a Personal Trainer to a participant,Hour,$69.39,$97.15,$104.09,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Other Labour Indexed Supports
15_045_0128_1_3,Community Engagement Assistance,Hour,$53.02,$74.23,$79.53,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Other Labour Indexed Supports
15_610_0128_1_3,Therapy - Art Therapist - Direct Service,Hour,$156.16,$218.62,$234.24,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Art Therapist
15_611_0128_1_3,Therapy - Audiologist - Direct Service,Hour,$193.99,$271.59,$290.99,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Audiologist
15_501_0119_1_3,Audiologist - Direct Service,Hour,$193.99,$271.59,$290.99,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Audiologist
15_502_0134_1_3,Audiologist - Direct Service,Hour,$193.99,$271.59,$290.99,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Audiologist
15_503_0134_1_3,Audiometrist - Direct Service,Hour,$166.83,$233.56,$250.25,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Audiometrist
15_043_0128_1_3,Therapy - Counsellor - Direct Service,Hour,$156.16,$218.62,$234.24,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Counsellor
10_613_0128_5_3,Employment Therapy - Developmental Educator - Direct Service,Hour,$193.99,$271.59,$290.99,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Developmental Educator
15_613_0128_1_3,Therapy - Developmental Educator - Direct Service,Hour,$193.99,$271.59,$290.99,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Developmental Educator
01_760_0128_3_3,Therapy - Dietitian - Direct Service,Hour,$178.99,$250.59,$268.49,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Dietitian
12_025_0128_3_3,Therapy - Dietitian - Direct Service,Hour,$178.99,$250.59,$268.49,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Dietitian
15_062_0128_3_3,Therapy - Dietitian - Direct Service,Hour,$178.99,$250.59,$268.49,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Dietitian
12_027_0126_3_3,Therapy - Exercise Physiologist - Direct Service,Hour,$161.99,$226.79,$242.99,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Exercise Physiologist
12_027_0128_3_3,Therapy - Exercise Physiologist - Direct Service,Hour,$161.99,$226.79,$242.99,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Exercise Physiologist
15_200_0126_1_3,Therapy - Exercise Physiologist - Direct Service,Hour,$161.99,$226.79,$242.99,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Exercise Physiologist
15_200_0128_1_3,Therapy - Exercise Physiologist - Direct Service,Hour,$161.99,$226.79,$242.99,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Exercise Physiologist
15_615_0128_1_3,Therapy - Music Therapist - Direct Service,Hour,$156.16,$218.62,$234.24,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Music Therapist
01_661_0128_1_3,Therapy - Occupational Therapist - Direct Service,Hour,$193.99,$271.59,$290.99,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Occupational Therapist
10_617_0128_5_3,Employment Therapy - Occupational Therapist - Direct Service,Hour,$193.99,$271.59,$290.99,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Occupational Therapist
15_617_0128_1_3,Therapy - Occupational Therapist - Direct Service,Hour,$193.99,$271.59,$290.99,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Occupational Therapist
15_626_0128_1_3,Therapy - Orientation Mobility Specialist - Direct Service,Hour,$156.16,$218.62,$234.24,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Orientation and Mobility Specialist
15_618_0128_1_3,Therapy - Orthoptist - Direct Service,Hour,$193.99,$271.59,$290.99,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Orthoptist
01_721_0128_1_3,Therapy - Physiotherapist - Direct Service,Hour,$183.99,$257.59,$275.99,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Physiotherapist
10_055_0128_5_3,Employment Therapy - Physiotherapist - Direct Service,Hour,$183.99,$257.59,$275.99,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Physiotherapist
15_055_0128_1_3,Therapy - Physiotherapist - Direct Service,Hour,$183.99,$257.59,$275.99,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Physiotherapist
01_663_0128_1_3,Therapy - Podiatrist - Direct Service,Hour,$188.99,$264.59,$283.49,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Podiatrist
15_619_0128_1_3,Therapy - Podiatrist - Direct Service,Hour,$188.99,$264.59,$283.49,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Podiatrist
01_701_0128_1_3,Therapy - Psychologist - Direct Service,Hour,$252.99,$354.19,$379.49,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Psychologist
10_054_0128_5_3,Employment Therapy - Psychologist - Direct Service,Hour,$252.99,$354.19,$379.49,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Psychologist
15_054_0128_1_3,Therapy - Psychologist - Direct Service,Hour,$252.99,$354.19,$379.49,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Psychologist
10_620_0128_5_3,Employment Therapy - Rehabilitation Counsellor - Direct Service,Hour,$193.99,$271.59,$290.99,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Rehabilitation Counsellor
15_620_0128_1_3,Therapy - Rehabilitation Counsellor - Direct Service,Hour,$193.99,$271.59,$290.99,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Rehabilitation Counsellor
15_621_0128_1_3,Therapy - Social Worker - Direct Service,Hour,$193.99,$271.59,$290.99,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Social Worker
01_665_0128_1_3,Therapy - Speech Pathologist - Direct Service,Hour,$193.99,$271.59,$290.99,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Speech Pathologist
10_622_0128_5_3,Employment Therapy - Speech Pathologist - Direct Service,Hour,$193.99,$271.59,$290.99,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Speech Pathologist
15_622_0128_1_3,Therapy - Speech Pathologist - Direct Service,Hour,$193.99,$271.59,$290.99,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Speech Pathologist
01_741_0128_1_3,Therapy - Other Professional - Direct Service,Hour,$156.16,$218.62,$234.24,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Other Professional
10_011_0128_5_3,Employment Therapy - Other Professional - Direct Service,Hour,$156.16,$218.62,$234.24,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Other Professional
15_056_0128_1_3,Therapy - Other Professional - Direct Service,Hour,$156.16,$218.62,$234.24,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Other Professional
15_047_0135_1_3,Selection or Manufacture of Individualised Technology - Direct Service,Hour,$193.99,$271.59,$290.99,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Selection and/or Manufacture of Customised or Wearable Technology
11_022_0110_7_3,Specialist Behavioural Intervention Support - Direct Service,Hour,$252.99,$354.19,$379.49,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Specialist Behavioural Intervention Support including Training in Behaviour Management Strategies
11_023_0110_7_3,Behaviour Management Plan Implementation - Direct Service,Hour,$252.99,$354.19,$379.49,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Specialist Behavioural Intervention Support including Training in Behaviour Management Strategies
15_052_0128_1_3,Therapy Assistant - Level 1 - Direct Service,Hour,$56.16,$78.62,$84.24,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Therapy Assistant - Level 1
15_053_0128_1_3,Therapy Assistant - Level 2 - Direct Service,Hour,$86.79,$121.51,$130.19,priced,2026-07-01,2027-06-30,Schedule 4: Therapeutic Supports,Therapy Assistant - Level 2
15_610_0118_1_3,ECI Professional - Art Therapist - Direct Service,Hour,$156.16,$218.62,$234.24,priced,2026-07-01,2027-06-30,Schedule 5: Early Childhood Supports,Art Therapist
15_606_0118_1_3,ECI Professional - Counsellor - Direct Service,Hour,$156.16,$218.62,$234.24,priced,2026-07-01,2027-06-30,Schedule 5: Early Childhood Supports,Counsellor
15_613_0118_1_3,ECI Professional - Developmental Educator - Direct Service,Hour,$193.99,$271.59,$290.99,priced,2026-07-01,2027-06-30,Schedule 5: Early Childhood Supports,Developmental Educator
01_760_0118_1_3,ECI Professional - Dietitian - Direct Service,Hour,$178.99,$250.59,$268.49,priced,2026-07-01,2027-06-30,Schedule 5: Early Childhood Supports,Dietitian
15_062_0118_1_3,ECI Professional - Dietitian - Direct Service,Hour,$178.99,$250.59,$268.49,priced,2026-07-01,2027-06-30,Schedule 5: Early Childhood Supports,Dietitian
15_625_0118_1_3,ECI Professional - Early Childhood Teacher or Educator - Direct Service,Hour,$193.99,$271.59,$290.99,priced,2026-07-01,2027-06-30,Schedule 5: Early Childhood Supports,Early Childhood Teacher or Educator
15_609_0118_1_3,ECI Professional - Exercise Physiologist - Direct Service,Hour,$161.99,$226.79,$242.99,priced,2026-07-01,2027-06-30,Schedule 5: Early Childhood Supports,Exercise Physiologist
15_615_0118_1_3,ECI Professional - Music Therapist - Direct Service,Hour,$156.16,$218.62,$234.24,priced,2026-07-01,2027-06-30,Schedule 5: Early Childhood Supports,Music Therapist
01_650_0118_1_3,ECI Professional - Occupational Therapist - Direct Service,Hour,$193.99,$271.59,$290.99,priced,2026-07-01,2027-06-30,Schedule 5: Early Childhood Supports,Occupational Therapist
15_617_0118_1_3,ECI Professional - Occupational Therapist - Direct Service,Hour,$193.99,$271.59,$290.99,priced,2026-07-01,2027-06-30,Schedule 5: Early Childhood Supports,Occupational Therapist
15_626_0118_1_3,ECI Professional - Orientation Mobility Specialist - Direct Service,Hour,$156.16,$218.62,$234.24,priced,2026-07-01,2027-06-30,Schedule 5: Early Childhood Supports,Orientation and Mobility Specialist
01_720_0118_1_3,ECI Professional - Physiotherapist - Direct Service,Hour,$183.99,$257.59,$275.99,priced,2026-07-01,2027-06-30,Schedule 5: Early Childhood Supports,Physiotherapist
15_003_0118_1_3,ECI Professional - Physiotherapist - Direct Service,Hour,$183.99,$257.59,$275.99,priced,2026-07-01,2027-06-30,Schedule 5: Early Childhood Supports,Physiotherapist
01_663_0118_1_3,ECI Professional - Podiatrist - Direct Service,Hour,$188.99,$264.59,$283.49,priced,2026-07-01,2027-06-30,Schedule 5: Early Childhood Supports,Podiatrist
15_619_0118_1_3,ECI Professional - Podiatrist - Direct Service,Hour,$188.99,$264.59,$283.49,priced,2026-07-01,2027-06-30,Schedule 5: Early Childhood Supports,Podiatrist
01_700_0118_1_3,ECI Professional - Psychologist - Direct Service,Hour,$252.99,$354.19,$379.49,priced,2026-07-01,2027-06-30,Schedule 5: Early Childhood Supports,Psychologist
15_001_0118_1_3,ECI Professional - Psychologist - Direct Service,Hour,$252.99,$354.19,$379.49,priced,2026-07-01,2027-06-30,Schedule 5: Early Childhood Supports,Psychologist
15_621_0118_1_3,ECI Professional - Social worker - Direct Service,Hour,$193.99,$271.59,$290.99,priced,2026-07-01,2027-06-30,Schedule 5: Early Childhood Supports,Social Worker
01_653_0118_1_3,ECI Professional - Speech Pathologist - Direct Service,Hour,$193.99,$271.59,$290.99,priced,2026-07-01,2027-06-30,Schedule 5: Early Childhood Supports,Speech Pathologist
15_622_0118_1_3,ECI Professional - Speech Pathologist - Direct Service,Hour,$193.99,$271.59,$290.99,priced,2026-07-01,2027-06-30,Schedule 5: Early Childhood Supports,Speech Pathologist
01_740_0118_1_3,ECI Professional - Other Early Childhood Professional - Direct Service,Hour,$193.99,$271.59,$290.99,priced,2026-07-01,2027-06-30,Schedule 5: Early Childhood Supports,Other Early Childhood Professional
15_005_0118_1_3,ECI Professional - Other Early Childhood Professional - Direct Service,Hour,$193.99,$271.59,$290.99,priced,2026-07-01,2027-06-30,Schedule 5: Early Childhood Supports,Other Early Childhood Professional
15_007_0118_1_3,ECI Professional - Therapy Assistant - Level 1 - Direct Service,Hour,$56.16,$78.62,$84.24,priced,2026-07-01,2027-06-30,Schedule 5: Early Childhood Supports,Therapy Assistants Level 1
15_008_0118_1_3,ECI Professional - Therapy Assistant - Level 2 - Direct Service,Hour,$86.79,$121.51,$130.19,priced,2026-07-01,2027-06-30,Schedule 5: Early Childhood Supports,Therapy Assistants Level 2
01_850_0106_1_1,Individualised Living Options - Exploration and Design,Hour,$100.14,$140.19,$150.21,priced,2026-07-01,2027-06-30,Schedule 6: Support Coordination,Support Coordination and Individualised Living Options
07_001_0106_8_3,Support Coordination Level 1: Support Connection,Hour,$80.06,$112.08,$120.09,priced,2026-07-01,2027-06-30,Schedule 6: Support Coordination,Support Coordination and Individualised Living Options
07_002_0106_8_3,Support Coordination Level 2: Coordination of Supports,Hour,$100.14,$140.19,$150.21,priced,2026-07-01,2027-06-30,Schedule 6: Support Coordination,Support Coordination and Individualised Living Options
07_004_0132_8_3,Support Coordination Level 3: Specialist Support Coordination,Hour,$190.54,$266.75,$285.80,priced,2026-07-01,2027-06-30,Schedule 6: Support Coordination,Support Coordination and Individualised Living Options
